Date,Open,High,Low,Close,Volume
2018-12-26,91.1468,96.4611,90.016,96.3359,53897563.429139
2018-12-27,95.1307,96.9455,92.3529,96.9356,51667659.798007
2018-12-28,97.8152,98.1101,95.3412,96.1712,39841988.896042
2018-12-31,97.0458,98.1001,96.2198,97.3148,34627524.936796
2019-01-02,95.37,97.4816,94.7852,96.877,36877567.264883
2019-01-03,95.8913,95.9796,93.1194,93.311,44444305.164851
2019-01-04,95.5348,98.1985,94.7754,97.6603,45991469.397381
2019-01-07,97.3824,98.939,96.7421,97.7854,37218679.098611
2019-01-08,98.7146,99.6143,97.4519,98.4854,32895459.000275
2019-01-09,99.5049,100.458,98.9191,99.9114,33695469.819655
2019-01-10,98.8893,99.4056,98.0812,99.2666,31385193.71972
2019-01-11,98.8596,99.1077,97.3824,98.4854,29555002.881289
2019-01-14,97.6306,98.5548,97.016,97.7755,29683264.81487
2019-01-15,98.1985,100.616,97.6106,100.578,32971865.778589
2019-01-16,100.815,101.778,100.528,100.935,31162137.983655
2019-01-17,100.568,102.146,100.368,101.66,29637271.064975
2019-01-18,102.97,103.367,101.451,103.207,39067760.60491
2019-01-22,102.275,102.613,100.448,101.233,33789844.590581
2019-01-23,101.66,102.553,100.895,102.235,27008171.379577
2019-01-24,102.383,102.513,100.895,101.728,24179982.347183
2019-01-25,102.751,103.347,102.116,102.682,32586254.002178
2019-01-28,101.788,102.007,100.269,100.646,30768463.878908
2019-01-29,100.458,100.538,97.8846,98.6164,32870543.746476
2019-01-30,100.24,101.907,99.9713,101.907,51639850.607514
2019-01-31,99.4552,100.775,98.8496,100.061,58074521.368085
2019-02-01,99.4255,99.7439,98.0515,98.4654,37092956.53656
2019-02-04,98.5548,101.351,98.4555,101.292,32687598.194614
2019-02-05,101.6,102.78,101.5,102.731,28522831.45505
2019-02-06,102.513,102.513,101.083,101.57,21512932.101766
2019-02-07,100.746,101.143,99.9314,100.825,31064887.407207
2019-02-08,100.031,101.331,99.9015,101.223,22401573.132038
2019-02-11,101.728,102.106,100.538,100.805,19742988.129916
2019-02-12,101.679,102.652,101.034,102.413,26154639.351572
2019-02-13,103.01,103.257,102.235,102.334,19200977.861025
2019-02-14,101.838,102.8,101.213,102.423,22739365.953786
2019-02-15,103.367,103.744,102.88,103.664,27772868.717345
2019-02-19,103.267,104.101,103.257,103.614,18828949.355181
2019-02-20,103.764,103.843,102.265,103.109,22458660.138051
2019-02-21,102.87,105.332,102.84,105.273,30207845.989907
2019-02-22,105.879,106.99,105.65,106.772,28856634.411414
2019-02-25,107.516,107.933,107.049,107.357,24685984.106157
2019-02-26,107.049,108.956,106.961,108.102,22384929.722354
2019-02-27,107.447,108.102,106.682,107.923,22333301.206752
2019-02-28,107.795,108.609,107.486,107.785,30229366.685173
2019-03-01,108.619,108.748,107.427,108.262,24426729.482857
2019-03-04,108.748,108.966,106.603,108.013,27655932.72327
2019-03-05,108.003,108.132,107.02,107.456,20307809.429229
2019-03-06,107.626,108.39,107.199,107.506,18383574.210139
2019-03-07,107.169,107.319,105.7,106.196,26336893.90428
2019-03-08,105.024,106.514,104.687,106.315,23717102.561731
2019-03-11,106.792,108.679,106.782,108.559,27534955.492153
2019-03-12,108.549,109.671,108.38,109.303,27161917.684337
2019-03-13,109.81,110.653,109.463,110.167,36912433.510891
2019-03-14,110.206,110.843,109.999,110.256,31974942.36028
2019-03-15,110.971,112.818,110.256,111.508,56782217.971223
2019-03-18,111.765,113.155,111.646,113.115,32436666.787087
2019-03-19,113.602,113.949,112.56,113.195,39069076.122253
2019-03-20,112.938,114.248,112.292,113.065,29220549.217265
2019-03-21,112.698,116.233,112.659,115.677,31030222.61868
2019-03-22,114.972,115.062,112.609,112.619,34948785.150476
2019-03-25,112.143,113.522,111.915,113.205,28133120.018928
2019-03-26,114.118,114.208,112.431,113.433,27125488.128287
2019-03-27,113.394,113.722,111.14,112.351,23628751.369447
2019-03-28,112.987,113.125,111.725,112.501,19056846.114483
2019-03-29,113.582,113.831,112.53,113.462,26400085.071929
2019-04-01,114.445,114.595,113.612,114.505,23686621.03777
2019-04-02,114.545,114.952,114.029,114.675,18856806.895469
2019-04-03,115.33,115.875,114.635,115.439,23761084.758693
2019-04-04,115.558,115.687,113.89,114.843,20904966.668605
2019-04-05,114.872,115.687,114.853,115.359,16449542.113811
2019-04-08,115.28,115.489,114.138,115.399,15711515.731776
2019-04-09,114.128,115.012,114.079,114.764,18305604.121782
2019-04-10,115.23,115.797,115.012,115.647,17126098.782361
2019-04-11,115.985,116.263,115.389,115.777,14768728.974692
2019-04-12,116.074,116.392,115.816,116.362,20522778.662061
2019-04-15,116.352,116.977,116.004,116.451,16414539.884005
2019-04-16,117.037,117.047,115.558,116.194,14625983.255609
2019-04-17,116.64,117.246,115.985,117.167,20061078.410153
2019-04-18,117.574,118.824,116.7,118.685,29093385.226947
2019-04-22,117.961,119.301,117.911,119.062,16265027.20818
2019-04-23,119.401,120.839,119.131,120.71,24971733.409895
2019-04-24,121.048,121.108,119.797,120.283,32487994.123756
2019-04-25,125.138,126.409,123.937,124.255,39531804.814595
2019-04-26,124.78,125.585,124.125,124.969,24586550.737916
2019-04-29,124.979,125.257,124.443,124.85,16967088.393657
2019-04-30,124.89,125.764,124.493,125.674,25118267.536883
2019-05-01,125.605,125.724,122.854,123.033,27878029.521732
2019-05-02,123.123,123.143,120.78,121.436,28427312.405639
2019-05-03,122.517,124.523,122.417,124.007,25892216.809406
2019-05-06,121.603,123.679,121.346,123.292,25194101.168668
2019-05-07,121.673,122.349,119.519,120.78,37436166.549937
2019-05-08,120.71,121.583,120.026,120.77,29538239.604406
2019-05-09,119.578,121.048,118.874,120.77,28308482.711256
2019-05-10,120.184,123.083,119.121,122.299,32132631.187918
2019-05-13,119.41,120.81,118.367,118.665,35281797.386232
2019-05-14,119.171,121.127,119.003,120.006,26261394.691912
2019-05-15,119.996,122.349,119.459,121.703,25601612.380406
2019-05-16,122.388,124.94,122.1,124.503,31182717.87249
2019-05-17,123.897,126.002,123.53,123.66,26686693.591818
2019-05-20,122.16,123.203,121.445,121.873,24549726.325207
2019-05-21,123.053,123.133,122.22,122.527,15836942.151331
2019-05-22,122.259,123.827,122.16,123.282,15943837.504618
2019-05-23,121.853,121.941,120.472,121.843,24442934.722522
2019-05-24,122.537,123.033,121.653,121.892,14625447.378713
2019-05-28,122.606,123.61,121.733,121.833,23950581.707795
